,Time,Chan1,Chan2,Trial,LED_State
0,192,0,2,0,0
1,752,0,0,0,0
2,1232,0,2,0,0
3,1696,0,2,0,0
4,2176,0,3,0,0
5,2640,0,2,0,0
6,3120,0,0,0,0
7,3584,0,0,0,0
8,4056,0,0,0,0
9,4528,0,2,0,0
10,5004,0,0,0,0
11,5480,0,2,0,0
12,5952,0,2,0,0
13,6424,0,7,0,0
14,6896,0,2,0,0
15,7376,0,2,0,0
16,7840,0,6,0,0
17,8320,0,2,0,0
18,8784,0,2,0,0
19,9264,0,6,0,0
20,9728,0,0,0,0
21,10200,0,0,0,0
22,10672,0,0,0,0
23,11144,0,0,0,0
24,11628,0,2,0,0
25,12100,0,7,0,0
26,12568,0,2,0,0
27,13040,0,2,0,0
28,13520,0,6,0,0
29,13984,0,0,0,0
30,14464,0,2,0,0
31,14928,0,6,0,0
32,15408,0,2,0,0
33,15872,0,2,0,0
34,16344,0,0,0,0
35,16820,0,0,0,0
36,17288,0,0,0,0
37,17768,0,0,0,0
38,18240,0,1,0,0
39,18712,0,2,0,0
40,19188,0,7,0,0
41,19664,0,0,0,0
42,20128,0,2,0,0
43,20608,0,2,0,0
44,21076,0,2,0,0
45,21552,0,0,0,0
46,22016,0,2,0,0
47,22488,0,2,0,0
48,22964,0,0,0,0
49,23432,0,2,0,0
50,23916,0,0,0,0
51,24384,0,0,0,0
52,24856,0,0,0,0
53,25328,0,2,0,0
54,25808,0,2,0,0
55,26272,0,2,0,0
56,26752,0,2,0,0
57,27216,0,7,0,0
58,27696,0,2,0,0
59,28160,0,2,0,0
60,28636,0,7,0,0
61,29108,0,2,0,0
62,29576,0,2,0,0
63,30056,0,6,0,0
64,30528,0,0,0,0
65,31000,0,0,0,0
66,31472,0,0,0,0
67,31952,0,0,0,0
68,32416,0,2,0,0
69,32896,0,7,0,0
70,33360,0,2,0,0
71,33840,0,2,0,0
72,34304,0,6,0,0
73,34776,0,0,0,0
74,35252,0,2,0,0
75,35720,0,6,0,0
76,36200,0,2,0,0
77,36672,0,2,0,0
78,37144,0,0,0,0
79,37620,0,0,0,0
80,38096,0,0,0,0
81,38560,0,0,0,0
82,39040,0,0,0,0
83,39504,0,2,0,0
84,39984,0,6,0,0
85,40448,0,0,0,0
86,40920,0,2,0,0
87,41392,0,1,0,0
88,41864,0,2,0,0
89,42344,0,0,0,0
90,42816,0,2,0,0
91,43288,0,2,0,0
92,43760,0,0,0,0
93,44240,0,2,0,0
94,44704,0,0,0,0
95,45184,0,0,0,0
96,45648,0,0,0,0
97,46128,0,2,0,0
98,46596,0,2,0,0
99,47064,0,1,0,0
100,47536,0,2,0,0
101,48008,0,7,0,0
102,48488,0,2,0,0
103,48960,0,2,0,0
104,49432,0,7,0,0
105,49904,0,2,0,0
106,50384,0,2,0,0
107,50848,0,6,0,0
108,51328,0,0,0,0
109,51792,0,0,0,0
110,52272,0,0,0,0
111,52740,0,0,0,0
112,53208,0,2,0,0
113,53680,0,7,0,0
114,54152,0,2,0,0
115,54632,0,2,0,0
116,55104,0,6,0,0
117,55580,0,0,0,0
118,56048,0,2,0,0
119,56528,0,6,0,0
120,56992,0,1,0,0
121,57472,0,2,0,0
122,57936,0,1,0,0
123,58416,0,0,0,0
124,58880,0,0,0,0
125,59356,0,0,0,0
126,59824,0,0,0,0
127,60296,0,2,0,0
128,60776,0,6,0,0
129,61248,0,0,0,0
130,61720,0,2,0,0
131,62196,0,1,0,0
132,62672,0,2,0,0
133,63136,0,0,0,0
134,63616,0,2,0,0
135,64080,0,2,0,0
136,64560,0,0,0,0
137,65024,0,2,0,0
138,65496,0,0,0,0
139,65968,0,0,0,0
140,66440,0,0,0,0
141,66920,0,2,0,0
142,67396,0,2,0,0
143,67864,0,0,0,0
144,68336,0,2,0,0
145,68816,0,7,0,0
146,69280,0,2,0,0
147,69760,0,2,0,0
148,70224,0,7,0,0
149,70704,0,2,0,0
150,71168,0,2,0,0
151,71644,0,6,0,0
152,72112,0,0,0,0
153,72584,0,0,0,0
154,73068,0,0,0,0
155,73536,0,0,0,0
156,74008,0,2,0,0
157,74480,0,7,0,0
158,74960,0,2,0,0
159,75428,0,2,0,0
160,75904,0,6,0,0
161,76368,0,0,0,0
162,76848,0,2,0,0
163,77316,0,6,0,0
164,77784,0,0,0,0
165,78256,0,2,0,0
166,78732,0,2,0,0
167,79208,0,0,0,0
168,79680,0,0,0,0
169,80152,0,0,0,0
170,80624,0,0,0,0
171,81104,0,2,0,0
172,81568,0,7,0,0
173,82048,0,2,0,0
174,82512,0,2,0,0
175,82992,0,0,0,0
176,83456,0,2,0,0
177,83928,0,1,0,0
178,84400,0,2,0,0
179,84872,0,2,0,0
180,85352,0,0,0,0
181,85828,0,2,0,0
182,86300,0,0,0,0
183,86772,0,0,0,0
184,87248,0,0,0,0
185,87712,0,2,0,0
186,88192,0,2,0,0
187,88656,0,0,0,0
188,89136,0,2,0,0
189,89604,0,6,0,0
190,90072,0,2,0,0
191,90544,0,2,0,0
192,91016,0,7,0,0
193,91496,0,2,0,0
194,91968,0,2,0,0
195,92444,0,6,0,0
196,92912,0,0,0,0
197,93392,0,0,0,0
198,93860,0,0,0,0
199,94336,0,0,0,0
200,94800,0,2,0,0
201,95280,0,7,0,0
202,95744,0,2,0,0
203,96216,0,2,0,0
204,96692,0,6,0,0
205,97160,0,0,0,0
206,97640,0,2,0,0
207,98112,0,6,0,0
208,98584,0,0,0,0
209,99056,0,2,0,0
210,99536,0,0,0,0
211,100004,0,0,0,0
212,100480,0,0,0,0
213,100944,0,0,0,0
214,101424,0,0,0,0
215,101888,0,2,0,0
216,102364,0,7,0,0
217,102832,0,2,0,0
218,103304,0,2,0,0
219,103784,0,0,0,0
220,104256,0,2,0,0
221,104728,0,2,0,0
222,105204,0,2,0,0
223,105680,0,2,0,0
224,106144,0,0,0,0
225,106624,0,2,0,0
226,107088,0,0,0,0
227,107568,0,0,0,0
228,108032,0,0,0,0
229,108504,0,2,0,0
230,108976,0,2,0,0
231,109448,0,0,0,0
232,109932,0,2,0,0
233,110400,0,6,0,0
234,110872,0,2,0,0
235,111344,0,2,0,0
236,111824,0,7,0,0
237,112288,0,2,0,0
238,112768,0,2,0,0
239,113232,0,7,0,0
240,113712,0,0,0,0
241,114176,0,0,0,0
242,114648,0,0,0,0
243,115120,0,0,0,0
244,115592,0,2,0,0
245,116076,0,7,0,0
246,116544,0,2,0,0
247,117016,0,2,0,0
248,117488,0,6,0,0
249,117968,0,1,0,0
250,118432,0,2,0,0
251,118908,0,6,0,0
252,119376,0,0,0,0
253,119856,0,2,0,0
254,120324,0,0,0,0
255,120796,0,0,0,0
256,121264,0,0,0,0
257,121736,0,0,0,0
258,122216,0,0,0,0
259,122692,0,2,0,0
260,123164,0,7,0,0
261,123632,0,2,0,0
262,124112,0,2,0,0
263,124576,0,0,0,0
264,125056,0,2,0,0
265,125520,0,2,0,0
266,126000,0,2,0,0
267,126464,0,2,0,0
268,126936,0,1,0,0
269,127408,0,2,0,0
270,127880,0,0,0,0
271,128360,0,0,0,0
272,128832,0,0,0,0
273,129304,0,2,0,0
274,129776,0,2,0,0
275,130256,0,0,0,0
276,130720,0,2,0,0
277,131200,0,5,0,0
278,131664,0,2,0,0
279,132144,0,2,0,0
